order_id,product_id,order_price,order_date,purchase_address,payement_methode
100000,104,1991064.16,2022-02-24,Libreville,
100001,101,1617034.16,2020-03-31,Libreville,
100002,100,585370.18,2022-09-23,Yaounde,
100003,103,618513.37,2021-09-30,Libreville,
100004,101,511249.82,2020-10-30,Libreville,
100005,101,53171.82,2021-10-01,Dakar,
100006,102,1930844.44,2020-03-05,Abidjan,
100007,105,1009696.44,2019-10-09,Douala,
100008,104,1048257.49,2021-07-20,Abidjan,
100009,101,1240899.3,2022-11-18,Dakar,
100010,102,1120302.93,2021-11-20,Abidjan,
100011,100,252171.01,2020-09-26,Yaounde,
100012,103,18587.64,2019-10-15,Libreville,
100013,105,38135.13,2020-12-15,Kribi,
100014,104,598339.85,2021-10-09,Dakar,
100015,100,1285557.98,2021-08-15,Libreville,
100016,105,1485414.61,2020-07-04,Kribi,
100017,104,609177.37,2020-03-21,Yaounde,
100018,102,1587240.87,2020-01-19,Dakar,
100019,101,806370.65,2020-02-12,Kribi,
100020,101,19132.81,2020-03-03,Abidjan,
100021,103,720100.08,2020-01-11,Douala,
100022,101,170788.56,2021-09-25,Yaounde,
100023,105,705699,2019-10-12,Dakar,
100024,102,1553439.15,2020-05-07,Kribi,
100025,102,1826965.17,2021-12-12,Kribi,
100026,104,794473.33,2020-01-02,Yaounde,
100027,101,840265.6,2022-03-19,Kribi,
100028,101,68569.38,2020-02-15,Kribi,
100029,103,1098860.66,2019-12-25,Dakar,
100030,100,1552979.01,2021-09-28,Yaounde,
100031,105,1626282.08,2020-06-21,Abidjan,
100032,105,449818.34,2022-10-07,Dakar,
100033,104,325526.23,2020-07-24,Kribi,
100034,101,1233029.2,2021-11-15,Kribi,
100035,105,329569.43,2021-05-15,Abidjan,
100036,103,1538043.48,2020-10-21,Libreville,
100037,101,1489463.79,2020-10-31,Abidjan,
100038,103,1661766.86,2020-09-03,Libreville,
100039,101,1025870.53,2020-05-19,Abidjan,
100040,101,97217.01,2021-08-17,Dakar,
100041,101,1602049.34,2021-05-29,Douala,
100042,105,1237464.09,2020-10-04,Yaounde,
100043,100,1563064.18,2020-12-03,Kribi,
100044,102,1948339.02,2020-07-09,Yaounde,
100045,102,537900.41,2021-01-12,Libreville,
100046,101,1748283.87,2022-06-12,Douala,
100047,100,1193446.46,2020-07-24,Kribi,
100048,105,910840.92,2022-07-06,Abidjan,
100049,102,449052.64,2022-08-31,Kribi,
100050,100,25496.69,2021-03-06,Dakar,
100051,104,1769557.26,2022-09-04,Dakar,
100052,103,727297.86,2022-10-20,Dakar,
100053,100,41887.07,2021-06-23,Douala,
100054,105,315417.19,2022-08-28,Dakar,
100055,103,333096.25,2021-02-09,Yaounde,
100056,104,519639.2,2022-02-02,Kribi,
100057,100,797734.05,2020-04-17,Douala,
100058,101,1682826.27,2021-05-01,Dakar,
100059,104,1752954.92,2022-04-09,Douala,
100060,101,1308842.67,2021-04-22,Libreville,
100061,100,643820.89,2020-04-10,Dakar,
100062,105,296336.14,2021-08-22,Dakar,
100063,100,1603617.86,2020-08-05,Yaounde,
100064,104,1038766.08,2020-04-19,Dakar,
100065,100,571444.3,2020-09-08,Yaounde,
100066,101,1582466.51,2019-11-30,Dakar,
100067,102,639747.82,2021-08-13,Dakar,
100068,105,1426224.87,2022-05-06,Douala,
100069,103,320914.7,2021-05-21,Yaounde,
100070,105,18054.58,2020-02-29,Yaounde,
100071,100,1165566.11,2022-11-02,Kribi,
100072,101,59620.65,2022-01-31,Douala,
100073,105,182977.23,2022-02-15,Dakar,
100074,103,1410673.35,2022-02-26,Libreville,
100075,103,1850599.68,2021-03-15,Libreville,
100076,103,1795045.78,2022-05-26,Abidjan,
100077,103,917921.54,2021-04-14,Douala,
100078,101,569114.81,2022-07-28,Yaounde,
100079,104,555145.37,2020-12-15,Kribi,
100080,103,179652.57,2022-09-07,Libreville,
100081,100,634210.04,2020-03-26,Libreville,
100082,102,1757376.69,2020-08-10,Dakar,
