order_id,product_id,poduct_name,statut,order_price,order_date,purchase_address,depense_projet,Revenue_projet
100000,104,WebEngine,en cours,1991064.1,2022-02-24,Libreville,132529.0,1858535.1
100001,101,Messago,en cours,1617034.1,2020-03-31,Libreville,96618.19,1520416.0
100002,100,JeTchoko,termine,585370.2,2022-09-23,Yaounde,147904.62,437465.56
100003,103,Tatami,termine,618513.4,2021-09-30,Libreville,91830.25,526683.1
100004,101,Messago,en cours,511249.8,2020-10-30,Libreville,96618.19,414631.62
100005,101,Messago,en cours,53171.82,2021-10-01,Dakar,96618.19,-43446.367
100006,102,BeWallet,en cours,1930844.5,2020-03-05,Abidjan,91916.875,1838927.6
100007,105,ERP,termine,1009696.44,2019-10-09,Douala,115846.164,893850.25
100008,104,WebEngine,en cours,1048257.5,2021-07-20,Abidjan,132529.0,915728.5
100009,101,Messago,en cours,1240899.2,2022-11-18,Dakar,96618.19,1144281.0
100010,102,BeWallet,en cours,1120302.9,2021-11-20,Abidjan,91916.875,1028386.0
100011,100,JeTchoko,termine,252171.02,2020-09-26,Yaounde,147904.62,104266.39
100012,103,Tatami,termine,18587.64,2019-10-15,Libreville,91830.25,-73242.61
100013,105,ERP,termine,38135.13,2020-12-15,Kribi,115846.164,-77711.03
100014,104,WebEngine,en cours,598339.9,2021-10-09,Dakar,132529.0,465810.88
100015,100,JeTchoko,termine,1285558.0,2021-08-15,Libreville,147904.62,1137653.4
100016,105,ERP,termine,1485414.6,2020-07-04,Kribi,115846.164,1369568.5
100017,104,WebEngine,en cours,609177.4,2020-03-21,Yaounde,132529.0,476648.38
100018,102,BeWallet,en cours,1587240.9,2020-01-19,Dakar,91916.875,1495324.0
100019,101,Messago,en cours,806370.6,2020-02-12,Kribi,96618.19,709752.44
100020,101,Messago,en cours,19132.81,2020-03-03,Abidjan,96618.19,-77485.375
100021,103,Tatami,termine,720100.06,2020-01-11,Douala,91830.25,628269.8
100022,101,Messago,en cours,170788.56,2021-09-25,Yaounde,96618.19,74170.375
100023,105,ERP,termine,705699.0,2019-10-12,Dakar,115846.164,589852.8
100024,102,BeWallet,en cours,1553439.1,2020-05-07,Kribi,91916.875,1461522.2
100025,102,BeWallet,en cours,1826965.1,2021-12-12,Kribi,91916.875,1735048.2
100026,104,WebEngine,en cours,794473.3,2020-01-02,Yaounde,132529.0,661944.3
100027,101,Messago,en cours,840265.6,2022-03-19,Kribi,96618.19,743647.44
100028,101,Messago,en cours,68569.38,2020-02-15,Kribi,96618.19,-28048.805
100029,103,Tatami,termine,1098860.6,2019-12-25,Dakar,91830.25,1007030.4
100030,100,JeTchoko,termine,1552979.0,2021-09-28,Yaounde,147904.62,1405074.4
100031,105,ERP,termine,1626282.1,2020-06-21,Abidjan,115846.164,1510436.0
100032,105,ERP,termine,449818.34,2022-10-07,Dakar,115846.164,333972.2
100033,104,WebEngine,en cours,325526.22,2020-07-24,Kribi,132529.0,192997.22
100034,101,Messago,en cours,1233029.2,2021-11-15,Kribi,96618.19,1136411.0
100035,105,ERP,termine,329569.44,2021-05-15,Abidjan,115846.164,213723.28
100036,103,Tatami,termine,1538043.5,2020-10-21,Libreville,91830.25,1446213.2
100037,101,Messago,en cours,1489463.8,2020-10-31,Abidjan,96618.19,1392845.5
100038,103,Tatami,termine,1661766.9,2020-09-03,Libreville,91830.25,1569936.6
100039,101,Messago,en cours,1025870.5,2020-05-19,Abidjan,96618.19,929252.3
100040,101,Messago,en cours,97217.01,2021-08-17,Dakar,96618.19,598.8203
100041,101,Messago,en cours,1602049.4,2021-05-29,Douala,96618.19,1505431.2
100042,105,ERP,termine,1237464.1,2020-10-04,Yaounde,115846.164,1121618.0
100043,100,JeTchoko,termine,1563064.1,2020-12-03,Kribi,147904.62,1415159.5
100044,102,BeWallet,en cours,1948339.0,2020-07-09,Yaounde,91916.875,1856422.1
100045,102,BeWallet,en cours,537900.44,2021-01-12,Libreville,91916.875,445983.56
100046,101,Messago,en cours,1748283.9,2022-06-12,Douala,96618.19,1651665.8
100047,100,JeTchoko,termine,1193446.5,2020-07-24,Kribi,147904.62,1045541.9
100048,105,ERP,termine,910840.94,2022-07-06,Abidjan,115846.164,794994.75
100049,102,BeWallet,en cours,449052.62,2022-08-31,Kribi,91916.875,357135.75
100050,100,JeTchoko,termine,25496.69,2021-03-06,Dakar,147904.62,-122407.94
100051,104,WebEngine,en cours,1769557.2,2022-09-04,Dakar,132529.0,1637028.2
100052,103,Tatami,termine,727297.9,2022-10-20,Dakar,91830.25,635467.6
100053,100,JeTchoko,termine,41887.07,2021-06-23,Douala,147904.62,-106017.555
100054,105,ERP,termine,315417.2,2022-08-28,Dakar,115846.164,199571.03
100055,103,Tatami,termine,333096.25,2021-02-09,Yaounde,91830.25,241266.0
100056,104,WebEngine,en cours,519639.2,2022-02-02,Kribi,132529.0,387110.2
100057,100,JeTchoko,termine,797734.06,2020-04-17,Douala,147904.62,649829.44
100058,101,Messago,en cours,1682826.2,2021-05-01,Dakar,96618.19,1586208.0
100059,104,WebEngine,en cours,1752954.9,2022-04-09,Douala,132529.0,1620425.9
100060,101,Messago,en cours,1308842.6,2021-04-22,Libreville,96618.19,1212224.5
100061,100,JeTchoko,termine,643820.9,2020-04-10,Dakar,147904.62,495916.25
100062,105,ERP,termine,296336.12,2021-08-22,Dakar,115846.164,180489.97
100063,100,JeTchoko,termine,1603617.9,2020-08-05,Yaounde,147904.62,1455713.2
100064,104,WebEngine,en cours,1038766.06,2020-04-19,Dakar,132529.0,906237.06
100065,100,JeTchoko,termine,571444.3,2020-09-08,Yaounde,147904.62,423539.7
100066,101,Messago,en cours,1582466.5,2019-11-30,Dakar,96618.19,1485848.2
