Ticker;SimFinId;_Company_Name;IndustryId;year;quarter
A;45846;"AGILENT TECHNOLOGIES INC";106001;2022;Q2
AA;367153;"Alcoa Corp";110004;2022;Q1
AAC_delist;939324;"AAC Holdings, Inc.";106011;2019;Q3
AAL;68568;"American Airlines Group Inc.";100006;2022;Q1
AAMC;847094;"Altisource Asset Management Corp";104001;2022;Q1
AAN;441241;"Aaron's Company, Inc.";100007;2022;Q1
AAOI;671827;"APPLIED OPTOELECTRONICS, INC.";101004;2022;Q1
AAON;919501;"AAON INC";100001;2022;Q1
AAP;184955;"ADVANCE AUTO PARTS INC";103002;2022;Q1
AAPL;111052;"APPLE INC";101001;2022;Q2
AAT;919944;"American Assets Trust, Inc.";109001;2022;Q1
AAWH;2265764;"Ascend Wellness Holdings, Inc.";;2022;Q1
AAWW;762204;"ATLAS AIR WORLDWIDE HOLDINGS INC";100010;2022;Q1
ABAX;36105;"ABAXIS INC";106001;2017;Q4
ABBV;61199;"AbbVie Inc.";106005;2022;Q1
ABC;187024;"AMERISOURCEBERGEN CORP";106014;2022;Q2
ABCD;358762;"CAMBIUM LEARNING GROUP, INC.";102006;2018;Q3
ABCL;1250893;"AbCellera Biologics Inc.";106002;2022;Q1
ABEO;953884;"ABEONA THERAPEUTICS INC.";;2022;Q1
ABG;545489;"ASBURY AUTOMOTIVE GROUP INC";103005;2022;Q1
ABIO;953886;"ARCA biopharma, Inc.";;2022;Q1
ABM;199984;"ABM INDUSTRIES INC /DE/";100002;2022;Q2
ABMC;160965;"AMERICAN BIO MEDICA CORP";106002;2022;Q1
ABMD;445587;"Abiomed Inc";106004;2021;Q4
ABNB;1214552;"Airbnb, Inc.";103015;2022;Q1
ABR;638468;"ARBOR REALTY TRUST INC";109001;2022;Q1
ABSI;1250894;"Absci Corp";106002;2022;Q1
ABT;63877;"ABBOTT LABORATORIES";106004;2022;Q1
ABTL;445589;"AutoWeb, Inc.";101002;2022;Q1
ABUS;953888;"Arbutus Biopharma Corp";106002;2022;Q1
AC;919941;"Associated Capital Group, Inc.";104003;2022;Q1
ACA;919864;"Arcosa, Inc.";100003;2022;Q1
ACAD;445591;"Acadia Pharmaceuticals Inc";106002;2022;Q1
ACAN;654226;"AmeriCann, Inc.";106005;2022;Q2
ACC;445593;"American Campus Communities Inc";109001;2022;Q1
ACCO;120923;"ACCO BRANDS Corp";100001;2022;Q1
ACER;1053636;"Acer Therapeutics Inc.";106002;2022;Q1
ACET;1154966;"Adicet Bio, Inc.";106002;2022;Q1
ACET_delis;191612;"ACETO CORP";106005;2019;Q2
ACHC;445598;"Acadia Healthcare Company Inc";106011;2022;Q1
ACI;1077533;"Albertsons Companies, Inc.";102001;2021;Q4
ACIA;353923;"Acacia Communications, Inc.";101005;2020;Q4
ACIW;1057787;"ACI WORLDWIDE, INC.";101003;2022;Q1
ACLS;670942;"AXCELIS TECHNOLOGIES INC";101004;2022;Q1
ACLX;1342109;"Arcellx, Inc.";106002;2022;Q1
ACM;445606;"Aecom Technology Corp";100003;2022;Q2
ACN;61372;"Accenture plc";108002;2022;Q2
ACRE;3241276;"Ares Commercial Real Estate Corp";;2022;Q1
ACRX;113247;"ACELRX PHARMACEUTICALS INC";106004;2022;Q1
ACU;998436;"ACME UNITED CORP";102001;2022;Q1
ADBE;14099;"Adobe Systems";101003;2022;Q1
ADC;6480964;"Agree Realty Corporation";;2022;Q1
ADES;619745;"Advanced Emissions Solutions, Inc.";100001;2022;Q1
ADI;65917;"ANALOG DEVICES INC";101004;2022;Q2
ADIL;807531;"ADIAL PHARMACEUTICALS, INC.";106002;2022;Q1
ADM;66997;"ARCHER DANIELS MIDLAND CO";102002;2022;Q1
ADMA;976582;"ADMA BIOLOGICS, INC.";106002;2022;Q1
ADNT;675558;"Adient plc";103005;2022;Q2
ADOM;807727;"Envirotech Vehicles, Inc.";103005;2022;Q1
ADP;591496;"AUTOMATIC DATA PROCESSING INC";100002;2022;Q3
ADPT;1147630;"Adaptive Biotechnologies Corp";106002;2022;Q1
ADSK;185035;"AUTODESK INC";101003;2022;Q1
ADT;54871;"ADT Inc.";101001;2022;Q1
ADTN;998420;"ADTRAN INC";101005;2022;Q1
ADUS;1023443;"Addus HomeCare Corp";106011;2022;Q1
ADV;1108279;"Advantage Solutions Inc.";108004;2022;Q1
ADVM;702608;"Adverum Biotechnologies, Inc.";106002;2022;Q1
ADXS;950904;"Advaxis, Inc.";106002;2022;Q2
AE;191518;"ADAMS RESOURCES & ENERGY, INC.";107005;2022;Q1
